Timestamp,Temperature (C),Pressure (kPa)
3:43,136.0,220
4:13,136.2,222
4:43,136.1,220
5:13,136.2,222
5:43,136.3,222
6:13,136.4,224
6:43,136.4,225
7:13,136.3,221
7:13,136.3,221
