Timestamp,Temperature (C),Pressure (kPa)
4:15,136.4,223
4:45,136.3,224
5:15,136.1,223
5:45,136.4,225
6:15,136.2,223
6:45,136.3,225
7:15,136.2,221
7:45,136.4,224
7:45,136.4,224
